,daymonth,year,weather,min_temp,max_temp,avg_temp,wind,humidity,cloud,pressure,rain
133,2020-01-26,2013.0,Sunny,7.0,19.0,13.0,10.0,26.0,10.0,1020.0,0
134,2020-01-27,2009.0,Sunny,9.0,18.0,13.5,6.0,67.0,29.0,1017.0,1
135,2020-01-27,2010.0,partly cloud,11.0,21.0,16.0,8.0,31.0,35.0,1019.0,0
136,2020-01-27,2011.0,Sunny,4.0,19.0,11.5,9.0,30.0,8.0,1022.0,0
137,2020-01-27,2012.0,partly cloud,5.0,16.0,10.5,10.0,32.0,26.0,1018.0,0
138,2020-01-27,2013.0,partly cloud,8.0,20.0,14.0,8.0,28.0,34.0,1018.0,0
139,2020-01-28,2009.0,Sunny,7.0,20.0,13.5,6.0,54.0,7.0,1016.0,0
140,2020-01-28,2010.0,Sunny,11.0,19.0,15.0,7.0,37.0,17.0,1019.0,0
141,2020-01-28,2011.0,partly cloud,5.0,19.0,12.0,7.0,26.0,47.0,1019.0,0
142,2020-01-28,2012.0,Sunny,5.0,17.0,11.0,10.0,26.0,5.0,1018.0,0
143,2020-01-28,2013.0,Sunny,8.0,20.0,14.0,9.0,30.0,10.0,1018.0,0
144,2020-01-29,2009.0,Sunny,8.0,20.0,14.0,8.0,48.0,4.0,1016.0,0
145,2020-01-29,2010.0,Sunny,8.0,15.0,11.5,9.0,73.0,31.0,1020.0,1
147,2020-01-29,2012.0,Sunny,5.0,17.0,11.0,11.0,30.0,0.0,1020.0,0
148,2020-01-29,2013.0,Sunny,9.0,21.0,15.0,8.0,32.0,34.0,1017.0,0
149,2020-01-30,2009.0,Sunny,8.0,19.0,13.5,9.0,51.0,4.0,1017.0,0
150,2020-01-30,2010.0,Sunny,5.0,19.0,12.0,9.0,48.0,17.0,1020.0,0
151,2020-01-30,2011.0,Sunny,7.0,19.0,13.0,6.0,55.0,27.0,1021.0,1
152,2020-01-30,2012.0,Sunny,5.0,18.0,11.5,9.0,25.0,17.0,1019.0,0
153,2020-01-30,2013.0,partly cloud,10.0,20.0,15.0,7.0,25.0,46.0,1018.0,0
154,2020-01-31,2009.0,Sunny,7.0,20.0,13.5,9.0,40.0,11.0,1016.0,0
155,2020-01-31,2010.0,Sunny,7.0,19.0,13.0,8.0,36.0,22.0,1017.0,0
156,2020-01-31,2011.0,Sunny,6.0,20.0,13.0,9.0,38.0,14.0,1021.0,0
157,2020-01-31,2012.0,Sunny,7.0,17.0,12.0,9.0,26.0,14.0,1021.0,0
158,2020-01-31,2013.0,Sunny,11.0,21.0,16.0,10.0,36.0,29.0,1020.0,0
159,2020-02-01,2009.0,Sunny,8.0,21.0,14.5,8.0,36.0,1.0,1016.0,0
161,2020-02-01,2010.0,Sunny,7.0,19.0,13.0,8.0,35.0,4.0,1018.0,0
162,2020-02-01,2011.0,Sunny,8.0,22.0,15.0,9.0,31.0,13.0,1019.0,0
163,2020-02-01,2012.0,partly cloud,6.0,18.0,12.0,10.0,32.0,27.0,1021.0,0
164,2020-02-01,2013.0,Sunny,10.0,21.0,15.5,8.0,36.0,22.0,1019.0,0
165,2020-02-02,2009.0,Sunny,7.0,20.0,13.5,6.0,37.0,30.0,1017.0,0
166,2020-02-02,2010.0,Sunny,6.0,19.0,12.5,8.0,35.0,4.0,1018.0,0
167,2020-02-02,2011.0,partly cloud,9.0,25.0,17.0,8.0,28.0,27.0,1018.0,0
168,2020-02-02,2012.0,Sunny,8.0,19.0,13.5,8.0,30.0,35.0,1019.0,0
169,2020-02-02,2013.0,partly cloud,11.0,19.0,15.0,9.0,48.0,33.0,1019.0,1
170,2020-02-03,2009.0,Sunny,10.0,21.0,15.5,6.0,50.0,24.0,1018.0,1
171,2020-02-03,2010.0,Sunny,6.0,19.0,12.5,8.0,34.0,15.0,1019.0,0
174,2020-02-04,2009.0,Sunny,8.0,21.0,14.5,8.0,49.0,15.0,1017.0,1
175,2020-02-04,2010.0,Sunny,6.0,21.0,13.5,8.0,35.0,21.0,1019.0,0
176,2020-02-04,2011.0,partly cloud,11.0,18.0,14.5,12.0,64.0,47.0,1019.0,1
181,2020-02-05,2011.0,partly cloud,9.0,20.0,14.5,9.0,57.0,38.0,1017.0,1
182,2020-02-05,2012.0,Sunny,5.0,14.0,9.5,7.0,69.0,18.0,1020.0,1
184,2020-02-06,2009.0,Sunny,7.0,16.0,11.5,8.0,72.0,19.0,1020.0,1
189,2020-02-04,2011.0,partly cloudy,11.0,18.0,14.5,12.0,64.0,47.0,1019.0,1
194,2020-02-05,2011.0,partly cloudy,9.0,20.0,14.5,9.0,57.0,38.0,1017.0,1
202,2020-02-06,2012.0,Sunny,5.0,16.0,10.5,11.0,45.0,1.0,1020.0,0
204,2020-02-06,2013.0,Sunny,7.0,15.0,11.0,10.0,71.0,15.0,1023.0,1
211,2020-02-07,2009.0,Sunny,5.0,19.0,12.0,6.0,54.0,15.0,1020.0,0
214,2020-02-07,2012.0,Sunny,3.0,15.0,9.0,11.0,34.0,0.0,1017.0,0
216,2020-02-07,2013.0,Sunny,6.0,17.0,11.5,7.0,50.0,0.0,1019.0,0
217,2020-02-08,2009.0,Sunny,6.0,21.0,13.5,9.0,43.0,7.0,1019.0,0
219,2020-02-08,2011.0,Sunny,5.0,17.0,11.0,8.0,69.0,2.0,1015.0,0
220,2020-02-08,2012.0,Sunny,3.0,14.0,8.5,9.0,32.0,0.0,1016.0,0
