[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
144,11/17/2020 1:15:23,01/29/2020,01/29/2020,Sunny,20,8,8,0,48,4,1016,2009,1,14
145,11/17/2020 1:15:44,01/29/2020,01/29/2020,Sunny,15,8,9,5,73,31,1020,2010,1,11.5
146,11/17/2020 1:16:03,01/29/2020,01/29/2020,Cloudy,16,7,6,0.2,45,55,1019,2011,4,11.5
147,11/17/2020 1:16:22,01/29/2020,01/29/2020,Sunny,17,5,11,0,30,0,1020,2012,1,11
148,11/17/2020 1:17:21,01/29/2020,01/29/2020,Sunny,21,9,8,0,32,34,1017,2013,1,15
149,11/17/2020 1:18:19,01/30/2020,01/30/2020,Sunny,19,8,9,0,51,4,1017,2009,1,13.5
150,11/17/2020 1:18:40,01/30/2020,01/30/2020,Sunny,19,5,9,0,48,17,1020,2010,1,12
151,11/17/2020 1:18:59,01/30/2020,01/30/2020,Sunny,19,7,6,0.1,55,27,1021,2011,1,13
152,11/17/2020 1:19:19,01/30/2020,01/30/2020,Sunny,18,5,9,0,25,17,1019,2012,1,11.5
153,11/17/2020 1:19:43,01/30/2020,01/30/2020,partly cloud,20,10,7,0,25,46,1018,2013,2,15
154,11/17/2020 1:20:46,01/31/2020,01/31/2020,Sunny,20,7,9,0,40,11,1016,2009,1,13.5
155,11/17/2020 1:21:07,01/31/2020,01/31/2020,Sunny,19,7,8,0,36,22,1017,2010,1,13
156,11/17/2020 1:21:26,01/31/2020,01/31/2020,Sunny,20,6,9,0,38,14,1021,2011,1,13
157,11/17/2020 1:21:46,01/31/2020,01/31/2020,Sunny,17,7,9,0,26,14,1021,2012,1,12
158,11/17/2020 1:22:10,01/31/2020,01/31/2020,Sunny,21,11,10,0,36,29,1020,2013,1,16
159,11/17/2020 1:32:46,02/01/2020,02/01/2020,Sunny,21,8,8,0,36,1,1016,2009,1,14.5
160,11/17/2020 1:38:13,02/01/2020,02/01/2020,Sunny,21,8,8,0,36,1,1016,2009,1,14.5
161,11/17/2020 1:38:39,02/01/2020,02/01/2020,Sunny,19,7,8,0,35,4,1018,2010,1,13
162,11/17/2020 1:38:58,02/01/2020,02/01/2020,Sunny,22,8,9,0,31,13,1019,2011,1,15
163,11/17/2020 1:39:17,02/01/2020,02/01/2020,partly cloud,18,6,10,0,32,27,1021,2012,2,12
164,11/17/2020 1:39:41,02/01/2020,02/01/2020,Sunny,21,10,8,0,36,22,1019,2013,1,15.5
165,11/17/2020 1:40:52,02/02/2020,02/02/2020,Sunny,20,7,6,0,37,30,1017,2009,1,13.5
166,11/17/2020 1:41:17,02/02/2020,02/02/2020,Sunny,19,6,8,0,35,4,1018,2010,1,12.5
167,11/17/2020 1:41:36,02/02/2020,02/02/2020,partly cloud,25,9,8,0,28,27,1018,2011,2,17
168,11/17/2020 1:41:56,02/02/2020,02/02/2020,Sunny,19,8,8,0,30,35,1019,2012,1,13.5
169,11/17/2020 1:42:20,02/02/2020,02/02/2020,partly cloud,19,11,9,0.5,48,33,1019,2013,2,15
170,11/17/2020 1:43:30,02/03/2020,02/03/2020,Sunny,21,10,6,0.5,50,24,1018,2009,1,15.5
171,11/17/2020 1:43:56,02/03/2020,02/03/2020,Sunny,19,6,8,0,34,15,1019,2010,1,12.5
172,11/17/2020 1:44:15,02/03/2020,02/03/2020,partly cloud,24,11,9,0.5,41,57,1020,2011,2,17.5
